Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,Initial_DataCollection_AverageReturn
0,32.5,18.519295,74.0,12.0,32.5,23.720379,11.831459,67.0,9.0,23.72037914691943,5005,7.710881233215332,20.442211,23.720379
1,46.11111,26.597595,86.0,16.0,46.111111111111114,36.919117,21.155258,140.0,10.0,36.919117647058826,10026,14.527349710464478,32.5981,23.720379
2,55.0,21.853045,111.0,31.0,55.0,40.491936,22.75022,128.0,9.0,40.49193548387097,15047,21.43325161933899,34.24583,23.720379
3,42.5,17.030853,74.0,21.0,42.5,55.076923,25.415333,147.0,13.0,55.07692307692308,20059,29.122977018356323,41.80441,23.720379
4,61.42857,23.95148,108.0,33.0,61.42857142857143,56.977272,30.758583,168.0,15.0,56.97727272727273,25073,38.04742479324341,44.66175,23.720379
5,56.625,16.680359,80.0,31.0,56.625,57.62069,22.102812,151.0,21.0,57.62068965517241,30086,47.01929306983948,38.671356,23.720379
6,96.6,57.4303,200.0,36.0,96.6,63.012344,24.383,140.0,21.0,63.01234567901235,35190,56.181612491607666,41.838512,23.720379
7,104.75,34.484596,154.0,57.0,104.75,69.791664,28.586582,200.0,20.0,69.79166666666667,40215,65.05674362182617,45.831696,23.720379
8,112.6,36.36812,178.0,67.0,112.6,86.40678,30.088636,198.0,29.0,86.40677966101696,45313,74.4170925617218,53.196075,23.720379
9,78.666664,20.121851,113.0,51.0,78.66666666666667,87.06896,31.539171,200.0,33.0,87.06896551724138,50363,83.46391558647156,53.93638,23.720379
10,97.6,53.147343,175.0,41.0,97.6,88.40351,36.933254,181.0,32.0,88.40350877192982,55402,92.3347692489624,55.022358,23.720379
11,148.0,34.641018,200.0,104.0,148.0,94.79245,40.537594,200.0,43.0,94.79245283018868,60426,101.5102972984314,59.63999,23.720379
12,144.0,41.448765,200.0,101.0,144.0,143.94286,47.337055,200.0,37.0,143.94285714285715,65464,110.44905209541321,83.78651,23.720379
13,160.33333,32.663265,200.0,120.0,160.33333333333334,140.33333,39.35028,200.0,49.0,140.33333333333334,70516,119.54127478599548,79.06751,23.720379
14,196.0,5.656854,200.0,188.0,196.0,159.1875,40.3883,200.0,49.0,159.1875,75610,128.82880353927612,87.99373,23.720379
15,190.33333,7.4087033,200.0,182.0,190.33333333333334,179.39285,28.216433,200.0,121.0,179.39285714285714,80633,138.04614663124084,95.34977,23.720379
16,156.0,22.55364,187.0,134.0,156.0,170.33333,32.22042,200.0,106.0,170.33333333333334,85743,147.11028742790222,91.50117,23.720379
17,149.33333,41.643993,200.0,98.0,149.33333333333334,155.63637,33.325592,200.0,100.0,155.63636363636363,90879,156.2325794696808,85.81245,23.720379
18,183.33333,22.171053,200.0,152.0,183.33333333333334,140.66667,37.015762,200.0,45.0,140.66666666666666,95943,165.36834406852722,79.39941,23.720379
19,138.33333,44.032818,200.0,100.0,138.33333333333334,141.86111,43.09044,200.0,65.0,141.86111111111111,101050,174.31945729255676,83.70345,23.720379
20,154.0,39.7576,200.0,103.0,154.0,143.14285,45.19617,200.0,30.0,143.14285714285714,106060,183.34456515312195,84.29536,23.720379
21,133.25,20.01718,162.0,110.0,133.25,135.67567,46.02881,200.0,27.0,135.67567567567568,111080,192.46174383163452,81.75624,23.720379
22,200.0,0.0,200.0,200.0,200.0,132.92105,50.148403,200.0,20.0,132.92105263157896,116131,201.41137313842773,82.792274,23.720379
23,145.33333,41.07175,200.0,101.0,145.33333333333334,131.97368,46.362125,200.0,48.0,131.97368421052633,121146,210.24409914016724,81.319435,23.720379
24,138.33333,6.847546,148.0,133.0,138.33333333333334,143.0,52.832348,200.0,61.0,143.0,126151,218.9877257347107,88.68892,23.720379
25,152.0,56.290913,200.0,73.0,152.0,141.13889,54.429443,200.0,28.0,141.13888888888889,131232,227.95790767669678,87.78797,23.720379
26,195.0,7.071068,200.0,185.0,195.0,150.41176,52.619118,200.0,26.0,150.41176470588235,136346,237.36425757408142,91.864365,23.720379
27,198.0,2.828427,200.0,194.0,198.0,168.5,47.930332,200.0,70.0,168.5,141401,246.6123549938202,98.409065,23.720379
28,200.0,0.0,200.0,200.0,200.0,185.7037,39.070507,200.0,24.0,185.7037037037037,146415,255.34908246994019,104.76952,23.720379
29,200.0,0.0,200.0,200.0,200.0,195.03847,23.63583,200.0,77.0,195.03846153846155,151486,264.2570548057556,105.8409,23.720379
30,200.0,0.0,200.0,200.0,200.0,197.03847,12.879562,200.0,133.0,197.03846153846155,156609,273.1770849227905,106.00488,23.720379
31,200.0,0.0,200.0,200.0,200.0,194.03847,14.492652,200.0,140.0,194.03846153846155,161654,282.13842606544495,102.87704,23.720379
32,191.0,10.677078,200.0,176.0,191.0,198.6923,3.1594696,200.0,188.0,198.69230769230768,166820,291.48167061805725,105.32445,23.720379
33,166.0,12.247449,181.0,151.0,166.0,192.61539,9.228205,200.0,168.0,192.6153846153846,171828,300.43354845046997,100.89313,23.720379
34,184.33333,12.256517,193.0,167.0,184.33333333333334,182.75,13.4818,200.0,154.0,182.75,176945,309.6510202884674,94.38443,23.720379
35,179.0,7.788881,189.0,170.0,179.0,179.17857,13.69842,200.0,157.0,179.17857142857142,181962,318.760347366333,91.88857,23.720379
36,200.0,0.0,200.0,200.0,200.0,195.73077,6.9146314,200.0,175.0,195.73076923076923,187051,327.87585639953613,98.442726,23.720379
37,200.0,0.0,200.0,200.0,200.0,198.73077,4.01495,200.0,184.0,198.73076923076923,192218,337.0325629711151,95.71541,23.720379
38,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,197218,345.84843015670776,96.099075,23.720379
39,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,202218,354.6930356025696,95.08051,23.720379
40,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,207218,363.4790110588074,93.2605,23.720379
41,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,212218,372.3160607814789,93.03969,23.720379
42,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,217218,381.1029098033905,92.71596,23.720379
43,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,222218,390.0025796890259,91.65826,23.720379
44,200.0,0.0,200.0,200.0,200.0,199.8077,0.96153843,200.0,195.0,199.80769230769232,227413,399.2387809753418,92.30488,23.720379
45,200.0,0.0,200.0,200.0,200.0,199.15384,3.370601,200.0,183.0,199.15384615384616,232591,408.2800323963165,92.435074,23.720379
46,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,237591,417.2269251346588,91.47121,23.720379
47,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,242591,426.1602327823639,91.65852,23.720379
48,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,247591,435.076865196228,91.35456,23.720379
49,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,252591,444.06831979751587,89.15999,23.720379
50,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,257591,453.09550762176514,89.17562,23.720379
51,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,262591,462.0203218460083,87.020744,23.720379
52,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,267591,470.9938349723816,90.43987,23.720379
53,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,272591,480.03873658180237,89.382034,23.720379
54,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,277591,488.8936882019043,89.42647,23.720379
55,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,282591,497.90149998664856,90.46243,23.720379
56,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,287591,506.79017877578735,90.02199,23.720379
57,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,292591,515.7122213840485,92.44365,23.720379
58,200.0,0.0,200.0,200.0,200.0,193.3077,33.46154,200.0,26.0,193.30769230769232,297617,524.7650241851807,92.40147,23.720379
59,200.0,0.0,200.0,200.0,200.0,193.6923,8.839462,200.0,173.0,193.69230769230768,302653,533.8433995246887,90.79436,23.720379
60,200.0,0.0,200.0,200.0,200.0,190.48148,33.146553,200.0,23.0,190.4814814814815,307796,543.1304371356964,89.60155,23.720379
61,193.66667,5.7927155,200.0,186.0,193.66666666666666,198.07692,4.205519,200.0,185.0,198.07692307692307,312946,552.5413885116577,92.250404,23.720379
62,197.66667,3.2998316,200.0,193.0,197.66666666666666,187.0,31.527765,200.0,32.0,187.0,317995,561.9649970531464,89.69757,23.720379
63,200.0,0.0,200.0,200.0,200.0,197.73077,3.1690533,200.0,189.0,197.73076923076923,323136,571.0479066371918,93.37567,23.720379
