Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,Initial_DataCollection_AverageReturn
0,32.5,18.519295,74.0,12.0,32.5,23.720379,11.831459,67.0,9.0,23.72037914691943,5005,7.091524839401245,10.535736,23.720379
1,44.444443,16.255672,69.0,26.0,44.44444444444444,34.10204,20.363945,140.0,11.0,34.10204081632653,10018,12.238319396972656,15.616581,23.720379
2,53.625,27.82956,123.0,24.0,53.625,46.453705,25.574648,145.0,12.0,46.4537037037037,15035,17.622162342071533,19.811935,23.720379
3,83.0,29.993332,140.0,51.0,83.0,54.47826,28.127613,200.0,14.0,54.47826086956522,20047,24.426947116851807,21.691505,23.720379
4,82.8,32.48015,145.0,58.0,82.8,66.986664,31.285563,186.0,18.0,66.98666666666666,25071,31.253958225250244,24.870522,23.720379
5,58.714287,24.434835,95.0,24.0,58.714285714285715,68.17333,32.044292,180.0,23.0,68.17333333333333,30184,38.15678310394287,24.692324,23.720379
6,87.8,32.064934,142.0,50.0,87.8,76.28788,34.806725,200.0,27.0,76.28787878787878,35219,46.042139291763306,26.549364,23.720379
7,161.0,27.652607,200.0,139.0,161.0,114.97727,44.875328,200.0,31.0,114.97727272727273,40278,55.0856077671051,36.885975,23.720379
8,124.75,57.80733,200.0,38.0,124.75,145.4,46.894535,200.0,42.0,145.4,45367,64.27249002456665,44.405117,23.720379
9,163.33333,26.0427,200.0,142.0,163.33333333333334,132.42105,42.863083,200.0,34.0,132.42105263157896,50399,73.32738280296326,40.1372,23.720379
10,141.66667,20.725721,170.0,121.0,141.66666666666666,165.64516,39.928604,200.0,61.0,165.6451612903226,55534,82.40886306762695,46.462364,23.720379
11,177.66667,26.787228,200.0,140.0,177.66666666666666,173.03448,36.28383,200.0,90.0,173.0344827586207,60552,91.56349015235901,47.89081,23.720379
12,173.0,14.96663,189.0,153.0,173.0,173.3793,37.18399,200.0,97.0,173.3793103448276,65580,100.62728214263916,47.595062,23.720379
13,198.33333,2.3570228,200.0,195.0,198.33333333333334,185.17857,28.173,200.0,120.0,185.17857142857142,70765,109.91546893119812,49.675316,23.720379
14,200.0,0.0,200.0,200.0,200.0,189.55556,23.988165,200.0,119.0,189.55555555555554,75883,118.91778373718262,50.319252,23.720379
15,200.0,0.0,200.0,200.0,200.0,196.65384,10.809335,200.0,157.0,196.65384615384616,80996,127.95731616020203,50.677612,23.720379
16,176.66667,22.09575,200.0,147.0,176.66666666666666,200.0,0.0,200.0,200.0,200.0,85996,137.04804277420044,51.084713,23.720379
17,188.66667,16.027754,200.0,166.0,188.66666666666666,193.3077,21.797619,200.0,111.0,193.30769230769232,91022,146.2384898662567,49.76663,23.720379
18,171.33333,23.683094,200.0,142.0,171.33333333333334,182.92857,26.00814,200.0,123.0,182.92857142857142,96144,155.5112488269806,47.50452,23.720379
19,170.33333,25.849993,200.0,137.0,170.33333333333334,161.625,35.492737,200.0,46.0,161.625,101316,164.73141717910767,43.006927,23.720379
20,142.33333,42.240055,200.0,100.0,142.33333333333334,161.29033,33.401943,200.0,103.0,161.29032258064515,106316,173.63351011276245,41.967743,23.720379
21,200.0,0.0,200.0,200.0,200.0,163.7742,29.380386,200.0,116.0,163.7741935483871,111393,182.50115132331848,42.17385,23.720379
22,200.0,0.0,200.0,200.0,200.0,187.2963,26.121958,200.0,109.0,187.2962962962963,116450,191.37586903572083,48.06574,23.720379
23,200.0,0.0,200.0,200.0,200.0,197.92308,10.384615,200.0,146.0,197.92307692307693,121596,200.52362298965454,49.972626,23.720379
24,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,126596,209.41336607933044,49.625847,23.720379
25,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,131596,218.25795793533325,49.68901,23.720379
26,200.0,0.0,200.0,200.0,200.0,199.96153,0.1923077,200.0,199.0,199.96153846153845,136795,227.3415651321411,50.20009,23.720379
27,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,141795,236.0672631263733,50.09824,23.720379
28,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,146795,244.85747480392456,51.567093,23.720379
29,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,151795,253.78823399543762,51.04169,23.720379
30,200.0,0.0,200.0,200.0,200.0,196.88461,15.576923,200.0,119.0,196.8846153846154,156914,262.8384385108948,51.0956,23.720379
