Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,Initial_DataCollection_AverageReturn
0,32.5,18.519295,74.0,12.0,32.5,23.720379,11.831459,67.0,9.0,23.72037914691943,5005,10.518587112426758,-0.0043963664,23.720379
1,34.166668,20.260115,85.0,12.0,34.166666666666664,31.647799,17.986067,140.0,10.0,31.647798742138363,10037,19.415087938308716,-0.007585157,23.720379
2,108.5,55.002274,200.0,53.0,108.5,44.767857,23.633732,131.0,13.0,44.767857142857146,15051,28.37696599960327,-0.010404571,23.720379
3,71.71429,31.503805,122.0,29.0,71.71428571428571,52.103092,24.826609,151.0,13.0,52.103092783505154,20105,37.502366065979004,-0.006454199,23.720379
4,73.14286,27.523645,114.0,37.0,73.14285714285714,65.07792,35.208015,161.0,18.0,65.07792207792208,25116,46.52572798728943,-0.0054270755,23.720379
5,67.166664,29.85753,124.0,34.0,67.16666666666667,72.042854,34.841454,200.0,31.0,72.04285714285714,30159,55.47779965400696,0.001750125,23.720379
6,108.25,57.473362,200.0,50.0,108.25,75.462685,32.637,153.0,27.0,75.46268656716418,35215,64.35857248306274,-0.0058893887,23.720379
7,108.0,56.07584,200.0,48.0,108.0,99.47059,38.53766,200.0,34.0,99.47058823529412,40288,73.30717372894287,0.008267827,23.720379
8,194.0,8.485281,200.0,182.0,194.0,117.95349,39.303795,200.0,43.0,117.95348837209302,45360,82.54284954071045,-0.007094358,23.720379
9,200.0,0.0,200.0,200.0,200.0,136.45946,38.14949,200.0,67.0,136.45945945945945,50409,91.41995048522949,-0.0075173015,23.720379
10,179.66667,28.755676,200.0,139.0,179.66666666666666,164.51613,36.285492,200.0,81.0,164.51612903225808,55509,100.70041370391846,-0.009620344,23.720379
11,200.0,0.0,200.0,200.0,200.0,169.1,36.52793,200.0,100.0,169.1,60582,109.74418616294861,-0.006045352,23.720379
12,188.66667,16.027754,200.0,166.0,188.66666666666666,180.03572,33.7792,200.0,68.0,180.03571428571428,65623,118.89431023597717,-0.00072598964,23.720379
13,200.0,0.0,200.0,200.0,200.0,182.78572,24.970491,200.0,122.0,182.78571428571428,70741,127.825199842453,-0.009264898,23.720379
14,200.0,0.0,200.0,200.0,200.0,180.03572,33.85946,200.0,101.0,180.03571428571428,75782,136.77650356292725,-0.00013181554,23.720379
15,200.0,0.0,200.0,200.0,200.0,187.03703,27.979464,200.0,96.0,187.03703703703704,80832,145.54313802719116,-0.0015457373,23.720379
16,164.66667,49.96888,200.0,94.0,164.66666666666666,198.15384,6.0044365,200.0,176.0,198.15384615384616,85984,154.8067877292633,0.0018074232,23.720379
17,200.0,0.0,200.0,200.0,200.0,195.88461,12.007456,200.0,155.0,195.8846153846154,91077,163.81437301635742,0.0012608452,23.720379
18,200.0,0.0,200.0,200.0,200.0,197.57692,12.115385,200.0,137.0,197.57692307692307,96214,172.85886549949646,0.00019376836,23.720379
19,200.0,0.0,200.0,200.0,200.0,195.11539,24.423077,200.0,73.0,195.1153846153846,101287,181.82554745674133,-0.0072736274,23.720379
20,200.0,0.0,200.0,200.0,200.0,196.07692,19.615385,200.0,98.0,196.07692307692307,106385,190.7000036239624,-0.0070108636,23.720379
