Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,Initial_DataCollection_AverageReturn
0,25.647058,10.867876,48.0,11.0,25.647058823529413,25.666666,13.428508,58.0,10.0,25.666666666666668,1001,1.3389551639556885,22.665428,25.666666
1,38.454544,21.154684,90.0,12.0,38.45454545454545,27.45946,15.120408,73.0,10.0,27.45945945945946,2017,1.8827779293060303,24.85083,25.666666
2,26.8,13.322662,58.0,9.0,26.8,23.488373,12.944195,73.0,10.0,23.488372093023255,3027,2.4150760173797607,20.904434,25.666666
3,33.333332,13.646327,63.0,20.0,33.333333333333336,28.157894,17.202396,83.0,11.0,28.157894736842106,4097,2.969226598739624,26.04181,25.666666
4,50.125,31.402378,111.0,15.0,50.125,34.566666,16.169277,73.0,12.0,34.56666666666667,5134,3.7285799980163574,28.461601,25.666666
5,38.454544,22.10456,89.0,19.0,38.45454545454545,31.96875,18.058039,87.0,10.0,31.96875,6157,4.276549816131592,27.760458,25.666666
6,38.636364,19.749674,82.0,18.0,38.63636363636363,33.866665,18.588049,93.0,11.0,33.86666666666667,7173,4.81520938873291,29.045286,25.666666
7,35.833332,15.032372,70.0,12.0,35.833333333333336,46.045456,25.2847,104.0,13.0,46.04545454545455,8186,5.5442445278167725,38.737873,25.666666
8,46.77778,22.572245,91.0,20.0,46.77777777777778,44.47826,24.556713,127.0,13.0,44.47826086956522,9209,6.080977201461792,37.322964,25.666666
9,34.416668,12.665297,54.0,13.0,34.416666666666664,42.666668,19.863422,89.0,16.0,42.666666666666664,10233,6.612762212753296,33.285446,25.666666
10,40.3,15.981552,71.0,15.0,40.3,46.272728,24.057095,124.0,19.0,46.27272727272727,11251,7.13961124420166,37.448177,25.666666
11,47.11111,23.633518,95.0,17.0,47.111111111111114,45.5,24.710598,101.0,15.0,45.5,12252,7.672942399978638,37.097588,25.666666
12,45.555557,18.856836,86.0,27.0,45.55555555555556,51.35,23.486753,104.0,22.0,51.35,13279,8.199093580245972,38.905773,25.666666
13,59.57143,38.95366,141.0,16.0,59.57142857142857,58.61111,25.759872,114.0,24.0,58.611111111111114,14334,8.742480516433716,43.469547,25.666666
14,58.0,29.064583,111.0,19.0,58.0,53.473682,19.356403,103.0,29.0,53.473684210526315,15350,9.289079904556274,37.612305,25.666666
15,60.25,30.330471,115.0,18.0,60.25,64.75,34.80212,125.0,18.0,64.75,16386,9.85253381729126,50.29744,25.666666
16,71.0,20.51016,97.0,44.0,71.0,70.53333,25.573076,130.0,39.0,70.53333333333333,17444,10.40177321434021,48.859756,25.666666
17,55.875,16.381678,88.0,27.0,55.875,73.14286,34.09411,146.0,21.0,73.14285714285714,18468,10.949243783950806,52.84706,25.666666
18,81.0,24.827404,121.0,53.0,81.0,59.411766,21.82028,100.0,25.0,59.411764705882355,19478,11.471323013305664,40.425983,25.666666
19,58.285713,11.535217,82.0,47.0,58.285714285714285,64.1875,32.33848,165.0,29.0,64.1875,20505,12.005236864089966,47.314987,25.666666
20,70.0,13.699148,82.0,46.0,70.0,68.13333,45.154354,197.0,21.0,68.13333333333334,21527,12.536557674407959,57.945175,25.666666
21,120.25,30.359306,165.0,82.0,120.25,78.07692,46.569157,182.0,29.0,78.07692307692308,22542,13.091599941253662,60.90772,25.666666
22,66.14286,22.497166,103.0,35.0,66.14285714285714,65.4375,30.718416,148.0,30.0,65.4375,23589,13.651362180709839,45.888863,25.666666
23,73.0,33.575787,144.0,38.0,73.0,62.058823,18.38948,99.0,28.0,62.05882352941177,24644,14.205621719360352,39.756702,25.666666
24,80.666664,31.287199,123.0,44.0,80.66666666666667,61.52941,26.62179,127.0,29.0,61.529411764705884,25690,14.77217173576355,41.32956,25.666666
25,59.42857,22.10919,110.0,38.0,59.42857142857143,73.14286,23.295792,122.0,36.0,73.14285714285714,26714,15.307247638702393,44.151993,25.666666
26,89.833336,49.350506,200.0,62.0,89.83333333333333,80.15385,38.280037,174.0,44.0,80.15384615384616,27756,15.896748065948486,55.32943,25.666666
27,77.71429,51.363453,200.0,37.0,77.71428571428571,81.07692,25.278334,132.0,39.0,81.07692307692308,28810,16.490464687347412,49.767612,25.666666
28,85.4,50.416664,181.0,41.0,85.4,72.28571,34.58825,155.0,36.0,72.28571428571429,29822,17.0259952545166,50.8829,25.666666
29,101.0,23.537205,129.0,73.0,101.0,91.75,34.33202,138.0,34.0,91.75,30923,17.587746620178223,59.527023,25.666666
