Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,Initial_DataCollection_AverageReturn
0,24.82353,9.690719,44.0,11.0,24.823529411764707,22.88889,10.367089,57.0,11.0,22.88888888888889,1030,1.325007438659668,9.848786,22.88889
1,25.5,14.853451,60.0,11.0,25.5,23.88372,12.951088,72.0,9.0,23.88372093023256,2057,1.8722820281982422,10.94715,22.88889
2,34.692307,16.164465,67.0,14.0,34.69230769230769,26.35,13.920399,69.0,12.0,26.35,3111,2.4407081604003906,11.723574,22.88889
3,27.666666,11.54508,59.0,15.0,27.666666666666668,26.461538,10.232794,50.0,9.0,26.46153846153846,4143,2.986621141433716,10.621775,22.88889
4,44.77778,31.81117,98.0,17.0,44.77777777777778,29.411764,12.635426,65.0,13.0,29.41176470588235,5143,3.5183937549591064,12.033796,22.88889
5,29.333334,12.042518,54.0,15.0,29.333333333333332,26.5,11.766925,53.0,10.0,26.5,6150,4.065755844116211,10.901319,22.88889
6,41.4,23.516802,88.0,13.0,41.4,37.851852,15.843456,77.0,12.0,37.851851851851855,7172,4.607222080230713,14.963775,22.88889
7,49.555557,31.184437,103.0,14.0,49.55555555555556,40.692307,19.196894,95.0,15.0,40.69230769230769,8230,5.173993825912476,16.711502,22.88889
8,33.307693,19.773272,87.0,12.0,33.30769230769231,41.833332,25.520689,108.0,12.0,41.833333333333336,9234,5.717732906341553,18.933989,22.88889
9,36.545456,14.4999275,61.0,17.0,36.54545454545455,36.392857,16.706156,69.0,11.0,36.392857142857146,10253,6.253818511962891,14.596903,22.88889
10,40.2,11.830469,62.0,24.0,40.2,45.636364,21.363829,86.0,21.0,45.63636363636363,11257,6.780423164367676,18.117199,22.88889
11,45.5,21.01547,85.0,17.0,45.5,41.04,21.238605,83.0,13.0,41.04,12283,7.338112831115723,16.933708,22.88889
12,63.142857,24.415619,96.0,22.0,63.142857142857146,54.55,29.335089,101.0,12.0,54.55,13374,7.909981966018677,22.681063,22.88889
13,45.22222,32.19309,129.0,15.0,45.22222222222222,53.45,38.168674,190.0,18.0,53.45,14443,8.470182657241821,25.82417,22.88889
14,51.3,31.241158,137.0,21.0,51.3,45.590908,15.993348,84.0,22.0,45.59090909090909,15446,9.043143272399902,16.368505,22.88889
15,57.142857,25.261086,102.0,21.0,57.142857142857146,58.72222,32.695236,120.0,21.0,58.72222222222222,16503,9.592676162719727,24.0939,22.88889
16,48.0,12.970051,67.0,21.0,48.0,56.61111,22.784348,108.0,23.0,56.611111111111114,17522,10.138680219650269,20.884874,22.88889
17,61.714287,27.21194,108.0,25.0,61.714285714285715,50.3,19.550192,94.0,23.0,50.3,18528,10.680022478103638,17.73866,22.88889
18,45.22222,23.573893,95.0,15.0,45.22222222222222,54.63158,24.19267,138.0,20.0,54.63157894736842,19566,11.225555658340454,20.44573,22.88889
19,66.0,38.79755,153.0,27.0,66.0,63.75,40.472984,157.0,18.0,63.75,20586,11.808433055877686,27.176744,22.88889
20,59.857143,21.04029,91.0,25.0,59.857142857142854,59.82353,26.04574,127.0,21.0,59.8235294117647,21603,12.349132776260376,21.515343,22.88889
21,87.0,45.28576,171.0,46.0,87.0,72.07143,29.025763,143.0,24.0,72.07142857142857,22612,12.892899513244629,24.383516,22.88889
22,102.6,50.622524,164.0,47.0,102.6,56.5,24.097603,121.0,22.0,56.5,23629,13.470202445983887,19.986597,22.88889
23,83.6,18.271288,110.0,64.0,83.6,72.2,36.18692,144.0,23.0,72.2,24712,14.033867359161377,26.877886,22.88889
24,77.833336,15.699434,92.0,53.0,77.83333333333333,64.375,28.735594,149.0,32.0,64.375,25742,14.5950608253479,23.313261,22.88889
25,89.0,22.45885,116.0,62.0,89.0,63.0,24.30535,117.0,27.0,63.0,26750,15.144199848175049,21.2018,22.88889
26,69.333336,19.396448,100.0,43.0,69.33333333333333,72.64286,23.641994,133.0,40.0,72.64285714285714,27767,15.685681581497192,23.682522,22.88889
27,69.42857,26.158075,110.0,37.0,69.42857142857143,78.53846,31.999075,144.0,34.0,78.53846153846153,28788,16.252785682678223,26.240557,22.88889
28,80.166664,25.970604,113.0,41.0,80.16666666666667,92.083336,36.93566,157.0,50.0,92.08333333333333,29893,16.849690437316895,32.674488,22.88889
29,85.5,41.495983,168.0,42.0,85.5,107.3,27.254541,158.0,68.0,107.3,30966,17.657398223876953,32.911045,22.88889
30,83.666664,24.763325,131.0,58.0,83.66666666666667,83.583336,25.276663,135.0,46.0,83.58333333333333,31969,18.51366686820984,26.65274,22.88889
31,115.25,47.47302,157.0,36.0,115.25,88.083336,25.934076,145.0,43.0,88.08333333333333,33026,19.357398509979248,27.073462,22.88889
32,84.2,22.498,118.0,59.0,84.2,90.84615,48.895252,197.0,23.0,90.84615384615384,34207,20.175858974456787,33.292088,22.88889
33,117.0,37.99342,160.0,57.0,117.0,78.07692,31.185453,132.0,40.0,78.07692307692308,35222,20.773102045059204,25.373222,22.88889
34,75.833336,13.704217,99.0,57.0,75.83333333333333,93.90909,40.39454,200.0,49.0,93.9090909090909,36255,21.364331483840942,31.454283,22.88889
35,87.166664,34.002045,141.0,33.0,87.16666666666667,117.666664,54.399754,200.0,40.0,117.66666666666667,37314,21.99679732322693,40.600853,22.88889
36,111.25,31.211977,157.0,80.0,111.25,102.0,52.691208,200.0,36.0,102.0,38436,22.617459774017334,37.228188,22.88889
37,152.33333,32.663265,192.0,112.0,152.33333333333334,147.85715,26.712376,200.0,120.0,147.85714285714286,39471,23.21235179901123,41.39311,22.88889
38,138.5,51.886898,200.0,64.0,138.5,138.5,44.35933,200.0,68.0,138.5,40579,23.882115364074707,41.89747,22.88889
39,114.0,27.58623,137.0,67.0,114.0,127.333336,62.321747,200.0,40.0,127.33333333333333,41725,24.525213718414307,44.136375,22.88889
40,145.33333,53.89702,200.0,72.0,145.33333333333334,144.0,45.406498,200.0,76.0,144.0,42877,25.156117916107178,45.751217,22.88889
41,105.0,23.248655,139.0,75.0,105.0,107.4,38.288902,166.0,62.0,107.4,43951,25.75089454650879,33.5948,22.88889
42,149.0,39.420807,200.0,104.0,149.0,130.875,48.93219,200.0,58.0,130.875,44998,26.350809574127197,41.85783,22.88889
43,183.66667,22.395435,200.0,152.0,183.66666666666666,148.14285,48.78357,200.0,77.0,148.14285714285714,46035,26.9856436252594,44.99481,22.88889
44,147.33333,15.627611,165.0,127.0,147.33333333333334,143.14285,43.848534,187.0,54.0,143.14285714285714,47037,27.561020612716675,42.82374,22.88889
45,137.0,17.907167,161.0,118.0,137.0,164.71428,30.517979,200.0,129.0,164.71428571428572,48190,28.18594741821289,47.258495,22.88889
46,163.33333,29.408995,200.0,128.0,163.33333333333334,176.33333,25.62334,200.0,136.0,176.33333333333334,49248,29.030011415481567,47.803173,22.88889
47,143.33333,35.86394,194.0,116.0,143.33333333333334,142.625,39.382538,184.0,52.0,142.625,50389,29.884958028793335,42.548637,22.88889
48,177.66667,31.584105,200.0,133.0,177.66666666666666,147.57143,30.391996,200.0,107.0,147.57142857142858,51422,30.743470907211304,42.104588,22.88889
49,126.5,26.024027,170.0,105.0,126.5,145.42857,32.477936,200.0,100.0,145.42857142857142,52440,31.365692138671875,41.608387,22.88889
50,151.66667,27.860764,184.0,116.0,151.66666666666666,128.11111,36.99683,167.0,39.0,128.11111111111111,53593,31.999261617660522,37.481876,22.88889
51,144.66667,21.296843,164.0,115.0,144.66666666666666,144.0,32.64583,200.0,103.0,144.0,54745,32.62647318840027,42.07379,22.88889
52,162.0,42.926292,200.0,102.0,162.0,171.83333,36.251053,200.0,105.0,171.83333333333334,55776,33.22404861450195,49.343147,22.88889
53,139.66667,5.312459,146.0,133.0,139.66666666666666,143.25,37.47249,200.0,100.0,143.25,56922,33.841171979904175,42.644127,22.88889
54,200.0,0.0,200.0,200.0,200.0,122.0,23.371397,169.0,98.0,122.0,58020,34.43443202972412,34.81527,22.88889
55,137.0,15.895493,159.0,122.0,137.0,143.71428,35.471172,200.0,84.0,143.71428571428572,59026,34.989564180374146,42.44991,22.88889
56,163.33333,35.668224,200.0,115.0,163.33333333333334,194.16667,11.724854,200.0,168.0,194.16666666666666,60191,35.6390221118927,53.005413,22.88889
57,134.33333,46.47819,200.0,99.0,134.33333333333334,198.66667,2.560382,200.0,193.0,198.66666666666666,61383,36.26908540725708,52.786434,22.88889
58,147.0,42.103046,200.0,97.0,147.0,176.66667,33.124348,200.0,125.0,176.66666666666666,62443,36.85704588890076,47.598606,22.88889
59,187.33333,17.913372,200.0,162.0,187.33333333333334,165.14285,31.822851,200.0,122.0,165.14285714285714,63599,37.53340554237366,45.89813,22.88889
60,200.0,0.0,200.0,200.0,200.0,199.66667,0.745356,200.0,198.0,199.66666666666666,64797,38.16341423988342,53.165718,22.88889
61,196.66667,4.714045,200.0,190.0,196.66666666666666,200.0,0.0,200.0,200.0,200.0,65797,38.79053711891174,53.487885,22.88889
62,180.33333,27.812868,200.0,141.0,180.33333333333334,200.0,0.0,200.0,200.0,200.0,66797,39.3988995552063,52.420437,22.88889
63,173.0,38.183765,200.0,119.0,173.0,200.0,0.0,200.0,200.0,200.0,67797,39.99663209915161,52.646103,22.88889
64,171.66667,40.069386,200.0,115.0,171.66666666666666,190.33333,21.615324,200.0,142.0,190.33333333333334,68939,40.650124311447144,54.624584,22.88889
65,200.0,0.0,200.0,200.0,200.0,193.83333,13.789086,200.0,163.0,193.83333333333334,70102,41.26642966270447,55.31688,22.88889
66,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,71102,41.818994998931885,52.684982,22.88889
