Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,Initial_DataCollection_AverageReturn
0,28.266666,15.307805,56.0,10.0,28.266666666666666,22.88889,10.367089,57.0,11.0,22.88888888888889,1030,1.3312394618988037,-0.0036774443,22.88889
1,46.333332,29.691002,109.0,9.0,46.333333333333336,28.405405,13.664829,71.0,10.0,28.405405405405407,2081,1.9033198356628418,-0.016767818,22.88889
2,59.42857,26.602133,96.0,21.0,59.42857142857143,51.4,26.069906,141.0,25.0,51.4,3109,2.4443371295928955,-0.01115065,22.88889
3,61.625,27.202654,100.0,22.0,61.625,53.05263,29.37144,127.0,24.0,53.05263157894737,4117,3.0058469772338867,-0.004026595,22.88889
4,87.6,57.137028,200.0,43.0,87.6,62.625,26.799894,120.0,20.0,62.625,5119,3.564542293548584,-0.007947789,22.88889
5,57.857143,18.216387,96.0,29.0,57.857142857142854,59.0,15.316274,84.0,24.0,59.0,6122,4.089961290359497,0.0035548387,22.88889
6,83.6,33.54162,130.0,43.0,83.6,85.0,37.128155,167.0,44.0,85.0,7142,4.628021955490112,-0.01078384,22.88889
7,78.0,22.575798,106.0,45.0,78.0,73.85714,29.592123,137.0,37.0,73.85714285714286,8176,5.208665370941162,-0.0069554662,22.88889
8,80.4,30.499834,136.0,54.0,80.4,79.0,26.89295,128.0,43.0,79.0,9203,5.746349096298218,-0.0045230705,22.88889
9,83.4,17.13009,100.0,56.0,83.4,92.63636,24.065338,134.0,48.0,92.63636363636364,10222,6.281413555145264,-0.0064523565,22.88889
10,91.4,19.975986,122.0,71.0,91.4,111.333336,33.502903,152.0,39.0,111.33333333333333,11224,6.845412731170654,-0.023296036,22.88889
11,83.0,5.7619443,91.0,78.0,83.0,104.5,40.578938,180.0,51.0,104.5,12269,7.39034628868103,-0.019664865,22.88889
12,81.8,15.223666,107.0,64.0,81.8,96.63636,27.575592,151.0,54.0,96.63636363636364,13332,7.940317630767822,-0.011424769,22.88889
13,100.5,36.010414,144.0,62.0,100.5,112.0,27.026735,154.0,55.0,112.0,14340,8.482616662979126,-0.011838359,22.88889
14,107.25,29.286303,157.0,82.0,107.25,111.22222,33.0514,154.0,53.0,111.22222222222223,15341,9.019976615905762,-0.019345358,22.88889
15,139.66667,9.104334,148.0,127.0,139.66666666666666,126.875,46.595165,200.0,68.0,126.875,16356,9.575904846191406,0.009291413,22.88889
16,137.0,13.247642,152.0,121.0,137.0,117.44444,36.39631,190.0,69.0,117.44444444444444,17413,10.174589157104492,0.0021460308,22.88889
17,104.25,26.752337,145.0,70.0,104.25,126.75,30.910152,200.0,86.0,126.75,18427,10.70995020866394,-0.00060912326,22.88889
18,164.33333,40.941692,200.0,107.0,164.33333333333334,134.625,49.305016,200.0,50.0,134.625,19504,11.31578016281128,-0.030439233,22.88889
19,150.0,53.89496,193.0,74.0,150.0,118.333336,39.78274,200.0,71.0,118.33333333333333,20569,11.881797313690186,0.0015925699,22.88889
20,191.33333,12.256517,200.0,174.0,191.33333333333334,124.888885,38.865707,188.0,67.0,124.88888888888889,21693,12.514570474624634,-0.03238008,22.88889
21,138.0,27.847801,179.0,102.0,138.0,167.42857,40.910553,200.0,98.0,167.42857142857142,22865,13.17653489112854,-0.015958687,22.88889
22,140.5,34.586845,182.0,86.0,140.5,151.14285,15.523518,174.0,127.0,151.14285714285714,23923,13.783504486083984,-0.0053567183,22.88889
23,150.33333,15.151091,168.0,131.0,150.33333333333334,162.0,28.385107,200.0,117.0,162.0,25057,14.394757270812988,-0.011997306,22.88889
24,155.33333,31.62629,200.0,131.0,155.33333333333334,144.71428,19.818563,168.0,105.0,144.71428571428572,26070,14.953304052352905,-0.030949755,22.88889
25,151.0,26.919634,189.0,130.0,151.0,148.71428,30.391325,200.0,109.0,148.71428571428572,27111,15.512349843978882,-0.005428587,22.88889
26,161.66667,9.428091,175.0,155.0,161.66666666666666,156.14285,32.348232,200.0,94.0,156.14285714285714,28204,16.122762203216553,-0.01673932,22.88889
27,154.0,33.970577,200.0,119.0,154.0,152.14285,42.052444,200.0,88.0,152.14285714285714,29269,16.695706844329834,-0.014316349,22.88889
28,153.33333,27.776888,192.0,128.0,153.33333333333334,155.71428,31.544592,200.0,116.0,155.71428571428572,30359,17.272284507751465,-0.003768312,22.88889
29,186.33333,17.93197,200.0,161.0,186.33333333333334,154.42857,40.679432,200.0,97.0,154.42857142857142,31440,17.902804374694824,-0.003998617,22.88889
30,200.0,0.0,200.0,200.0,200.0,154.42857,35.93986,200.0,95.0,154.42857142857142,32521,18.453035354614258,-0.018936442,22.88889
31,200.0,0.0,200.0,200.0,200.0,175.0,24.684677,200.0,143.0,175.0,33571,19.01166009902954,-0.032290302,22.88889
32,200.0,0.0,200.0,200.0,200.0,190.0,13.56466,200.0,162.0,190.0,34711,19.585267066955566,-0.008577666,22.88889
33,181.66667,25.927248,200.0,145.0,181.66666666666666,193.16667,10.366881,200.0,173.0,193.16666666666666,35870,20.218257188796997,0.01230706,22.88889
34,168.0,24.055492,200.0,142.0,168.0,176.66667,25.031092,200.0,133.0,176.66666666666666,36930,20.817704916000366,-0.018688882,22.88889
35,167.33333,34.87438,200.0,119.0,167.33333333333334,188.16667,16.577261,200.0,154.0,188.16666666666666,38059,21.42158818244934,-0.007753563,22.88889
36,152.33333,15.75507,174.0,137.0,152.33333333333334,158.42857,30.453041,200.0,123.0,158.42857142857142,39168,22.00410795211792,-0.008908959,22.88889
37,143.0,40.32369,200.0,113.0,143.0,158.42857,14.888702,176.0,133.0,158.42857142857142,40277,22.593451261520386,-0.01734688,22.88889
38,170.33333,23.328571,200.0,143.0,170.33333333333334,146.85715,21.148647,187.0,114.0,146.85714285714286,41305,23.16835618019104,-0.03068239,22.88889
39,160.33333,30.444849,200.0,126.0,160.33333333333334,135.625,20.315865,158.0,103.0,135.625,42390,23.767942428588867,-0.0070632705,22.88889
40,134.66667,21.74601,164.0,112.0,134.66666666666666,142.85715,17.274494,165.0,113.0,142.85714285714286,43390,24.29371404647827,-0.031399786,22.88889
41,152.0,18.384777,175.0,130.0,152.0,159.14285,27.915323,200.0,125.0,159.14285714285714,44504,24.877198696136475,-0.005553076,22.88889
42,166.66667,23.795425,200.0,146.0,166.66666666666666,167.66667,17.622587,200.0,149.0,167.66666666666666,45510,25.45946455001831,-0.016109867,22.88889
43,191.0,12.727922,200.0,173.0,191.0,177.33333,21.898756,200.0,146.0,177.33333333333334,46574,26.066722631454468,-0.022391928,22.88889
44,200.0,0.0,200.0,200.0,200.0,177.0,25.079872,200.0,144.0,177.0,47636,26.624332904815674,0.010702789,22.88889
45,181.66667,12.970051,200.0,172.0,181.66666666666666,193.0,10.92398,200.0,171.0,193.0,48794,27.28212547302246,-0.019953717,22.88889
46,189.0,15.556349,200.0,167.0,189.0,165.85715,30.30525,200.0,126.0,165.85714285714286,49955,27.930704832077026,-0.024571389,22.88889
47,149.66667,12.256517,165.0,135.0,149.66666666666666,166.57143,15.107776,190.0,151.0,166.57142857142858,51121,28.553358793258667,-0.03456178,22.88889
48,151.66667,20.368822,180.0,133.0,151.66666666666666,153.14285,17.199905,180.0,129.0,153.14285714285714,52193,29.12078356742859,-0.013952913,22.88889
49,176.0,17.682383,199.0,156.0,176.0,156.28572,18.560436,181.0,119.0,156.28571428571428,53287,29.726595640182495,-0.039965115,22.88889
50,193.33333,4.714045,200.0,190.0,193.33333333333334,157.14285,15.733754,179.0,131.0,157.14285714285714,54387,30.375847578048706,-0.02664019,22.88889
51,200.0,0.0,200.0,200.0,200.0,170.16667,20.979488,200.0,143.0,170.16666666666666,55408,30.90836215019226,-0.031578887,22.88889
52,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,56408,31.44549298286438,-0.026056128,22.88889
53,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,57408,31.97172713279724,0.0019094659,22.88889
54,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,58408,32.49251627922058,0.009114132,22.88889
55,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,59408,33.04164505004883,-0.018646346,22.88889
56,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,60408,33.56831502914429,-0.00903183,22.88889
57,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,61408,34.09463620185852,-0.003332407,22.88889
58,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,62408,34.63479661941528,-0.020756742,22.88889
59,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,63408,35.18132948875427,-0.004148945,22.88889
60,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,64408,35.73153567314148,-0.0024667082,22.88889
61,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,65408,36.27686595916748,0.0129172085,22.88889
62,197.66667,3.2998316,200.0,193.0,197.66666666666666,200.0,0.0,200.0,200.0,200.0,66408,37.124433517456055,-0.00080298044,22.88889
63,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,67408,37.69330286979675,0.004550408,22.88889
64,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,68408,38.23622918128967,0.02306913,22.88889
65,177.33333,21.74601,200.0,148.0,177.33333333333334,182.5,14.941553,200.0,164.0,182.5,69503,38.85161995887756,0.0047373073,22.88889
66,184.66667,11.323525,200.0,173.0,184.66666666666666,191.16667,12.5222025,200.0,172.0,191.16666666666666,70650,39.52055382728577,-0.020318767,22.88889
67,200.0,0.0,200.0,200.0,200.0,181.0,16.643316,200.0,162.0,181.0,71736,40.08966398239136,0.0045903437,22.88889
68,200.0,0.0,200.0,200.0,200.0,178.0,38.747044,200.0,94.0,178.0,72804,40.6489474773407,-0.008608111,22.88889
69,187.33333,17.913372,200.0,162.0,187.33333333333334,195.5,10.062305,200.0,173.0,195.5,73977,41.33056998252869,-0.0023538286,22.88889
