Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,baseline_loss,Initial_DataCollection_AverageReturn
0,-341.21866,114.07167,-224.22865,-512.8815,112.0,-312.67175,168.45726,62.25244,-754.645,108.86684782608695,40063,30.611379146575928,-214.3722,1.0066351,-312.67175
1,-165.00095,108.55846,-53.620888,-388.49484,72.5,-190.487,120.31111,55.218964,-567.7178,100.81863979848866,80088,59.320252656936646,-142.499,1.0407076,-312.67175
2,-115.492065,19.17324,-91.7522,-141.28368,93.8,-145.11082,81.87796,58.736343,-440.44662,97.09223300970874,120090,88.97080135345459,-212.49683,1.0022862,-312.67175
3,-86.29738,74.98827,34.407413,-193.4527,99.6,-125.70885,61.65765,98.90073,-461.5979,92.92343387470997,160140,135.88567924499512,22.312439,1.0320137,-312.67175
4,-69.00058,51.435074,14.570648,-126.19125,88.8,-125.14297,61.754974,46.580257,-534.48706,90.21621621621621,200196,189.38726115226746,83.62933,1.057003,-312.67175
5,-111.494675,38.48286,-61.36378,-152.27927,98.0,-113.85558,50.164413,64.836395,-358.24814,92.03908045977012,240233,234.283864736557,-277.24146,1.040934,-312.67175
6,-94.38147,28.266449,-47.627373,-125.091576,93.8,-108.591965,48.276894,31.58298,-355.05014,91.5228310502283,280320,284.6310272216797,83.625244,1.0403144,-312.67175
7,-127.30158,95.61746,-24.643694,-269.1994,128.5,-103.7955,52.590775,46.64151,-359.77332,97.64878048780488,320356,327.70194125175476,-199.79062,1.0210736,-312.67175
8,-56.238636,35.666973,-15.953642,-110.23691,105.0,-84.0362,47.28089,43.725777,-332.66428,108.11859838274933,360468,383.4356973171234,124.51019,1.0171665,-312.67175
9,-52.55754,10.007704,-38.02295,-62.95396,128.25,-74.328026,43.52012,18.107994,-324.0158,114.756446991404,400518,439.43846344947815,-301.14255,0.9908971,-312.67175
10,-52.943592,14.932209,-34.59889,-71.17465,156.0,-56.357098,43.15502,41.46756,-311.9903,130.91503267973857,440578,498.062607049942,99.40375,0.95046395,-312.67175
11,-53.919342,15.089181,-39.39901,-74.72185,437.3333333333333,-49.552265,51.607346,60.20529,-227.927,174.9868995633188,480650,568.4610977172852,-243.77063,0.91380066,-312.67175
12,-73.51889,59.65628,0.7168293,-145.35132,185.33333333333334,-52.921688,61.486465,52.274902,-244.5965,253.72784810126583,520739,651.4140024185181,-119.74751,0.94934815,-312.67175
13,-227.83578,0.0,-227.83578,-227.83578,715.0,-86.63325,90.92008,44.730278,-403.2516,331.35537190082647,560833,717.9895474910736,-562.4258,0.98016596,-312.67175
14,-277.8452,0.0,-277.8452,-277.8452,711.0,-145.85895,96.57842,64.51616,-423.57278,421.13684210526316,600841,787.9091606140137,-206.72821,1.0071594,-312.67175
15,-169.11554,13.795769,-155.31978,-182.91132,359.0,-171.30647,73.45415,-15.682216,-398.80383,527.8701298701299,641487,862.5120160579681,-156.85886,0.9818785,-312.67175
16,-157.36636,0.0,-157.36636,-157.36636,519.0,-157.46066,80.61573,50.9387,-493.90796,479.2261904761905,681742,930.4310441017151,-45.163086,0.9184885,-312.67175
17,-102.9515,0.0,-102.9515,-102.9515,467.0,-143.10365,71.64618,-4.393738,-290.8626,617.1076923076923,721854,1010.1493077278137,-218.45593,0.9605543,-312.67175
18,-150.46605,0.0,-150.46605,-150.46605,628.0,-105.23722,80.74901,35.524666,-316.36353,637.203125,762635,1089.5199739933014,-69.69754,0.8789962,-312.67175
19,3.85812,0.0,3.85812,3.85812,1000.0,-68.47989,74.0543,36.304897,-313.25784,739.4909090909091,803307,1178.6564712524414,-105.30792,0.82588863,-312.67175
20,1.4917412,27.739475,29.231216,-26.247734,200.0,-39.999367,76.211296,69.74765,-289.04456,677.8,843975,1265.4332282543182,-534.5863,0.78602034,-312.67175
21,-16.966461,0.0,-16.966461,-16.966461,1000.0,-20.622208,58.569347,47.715233,-224.42204,731.290909090909,884196,1357.811844587326,-324.48535,0.77597976,-312.67175
22,-29.251045,0.0,-29.251045,-29.251045,1000.0,2.5024383,65.21631,72.596695,-338.51642,531.1428571428571,925094,1438.1228773593903,5.9372253,0.6779276,-312.67175
23,32.296318,0.0,32.296318,32.296318,1000.0,-0.9523705,63.349613,82.68597,-362.5808,542.8918918918919,965268,1518.2467954158783,-14.798706,0.62275016,-312.67175
24,85.9729,0.0,85.9729,85.9729,1000.0,19.755545,46.93528,108.99928,-206.07626,517.6282051282051,1005643,1600.2848637104034,-52.049194,0.5746824,-312.67175
25,41.52386,4.516079,46.03994,37.007782,563.5,39.87332,44.190807,120.70268,-242.36415,457.1685393258427,1046331,1676.9560911655426,34.874023,0.5987452,-312.67175
26,28.334076,7.1361713,34.47138,18.327301,177.33333333333334,47.650253,38.693302,134.672,-28.94811,469.5813953488372,1086715,1748.5486216545105,-52.24878,0.57850957,-312.67175
27,52.982353,16.181984,69.16434,36.80037,233.0,48.788223,39.22885,154.93924,-46.509007,455.14606741573033,1127223,1816.714318037033,80.10077,0.64268863,-312.67175
28,101.34933,0.0,101.34933,101.34933,1000.0,55.672146,45.11569,153.09462,-54.89543,524.2467532467532,1167590,1886.326800107956,-257.29846,0.58448315,-312.67175
29,84.24003,29.503502,113.74353,54.736526,617.5,81.24078,45.812798,155.43121,-16.20861,650.758064516129,1207937,1957.701043844223,-261.5891,0.49527806,-312.67175
30,124.70336,0.0,124.70336,124.70336,1000.0,78.8086,50.11495,158.38358,-18.343033,676.1666666666666,1248507,2026.149246454239,-485.22504,0.50317746,-312.67175
31,152.59653,0.0,152.59653,152.59653,1000.0,107.263565,48.046795,160.14304,3.0358734,832.5714285714286,1289303,2102.1381418704987,8.594299,0.40007713,-312.67175
32,117.220535,0.0,117.220535,117.220535,1000.0,116.938156,44.24449,172.19888,-14.220245,872.1086956521739,1329420,2173.2147285938263,-88.41324,0.3981409,-312.67175
33,129.11359,0.0,129.11359,129.11359,1000.0,132.35039,21.11493,177.73833,94.73493,1000.0,1369420,2248.62224817276,-181.3999,0.2071935,-312.67175
34,130.87149,0.0,130.87149,130.87149,1000.0,122.7004,35.92655,169.65834,2.5712128,953.3255813953489,1410413,2326.149621963501,-576.5764,0.3427664,-312.67175
