Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,Initial_DataCollection_AverageReturn
0,-95.81769,19.518803,-75.733246,-122.2592,150.0,-91.0735,39.65594,18.06682,-236.1149,150.0,50100,69.21533608436584,-0.012819647,-91.0735
1,-99.43401,15.267907,-78.414406,-114.221146,150.0,-92.31333,37.16768,-6.101967,-205.54907,150.0,100200,145.9644479751587,-0.020391606,-91.0735
2,-112.01009,40.12617,-72.40137,-167.00716,150.0,-90.10152,36.400864,15.1172085,-227.09853,150.0,150300,222.81401658058167,-0.0010011593,-91.0735
3,-84.79624,19.937975,-68.154816,-112.82942,150.0,-93.73385,33.222435,-4.941001,-201.788,150.0,200400,299.51595163345337,-0.01113174,-91.0735
4,-88.55697,5.8185863,-82.64413,-96.46946,150.0,-99.38342,30.393772,-28.088943,-202.18484,150.0,250500,376.1808075904846,-0.017113926,-91.0735
5,-62.562153,27.106337,-24.243313,-82.659775,150.0,-92.81257,33.838577,-2.10174,-209.5521,150.0,300600,452.85193490982056,-0.010829668,-91.0735
6,-94.679115,20.934029,-70.63417,-121.659225,150.0,-87.673,32.477207,-9.712024,-189.6851,150.0,350700,529.479855298996,-0.006197105,-91.0735
7,-96.19097,56.628036,-48.621544,-175.76962,150.0,-85.675644,33.631687,8.876745,-234.15521,150.0,400800,606.033289194107,-0.026678856,-91.0735
8,-82.20588,10.946387,-73.753586,-97.663864,150.0,-84.08025,32.532852,6.1076255,-200.83339,150.0,450900,682.2817487716675,-0.014507782,-91.0735
9,-104.266785,38.71735,-65.70329,-157.21146,150.0,-79.01962,33.838478,16.612917,-174.94925,150.0,501000,758.5202360153198,-0.012158598,-91.0735
10,-85.93401,30.803452,-42.595547,-111.42583,150.0,-78.41607,33.34691,18.777939,-201.94641,150.0,551100,834.6852464675903,-0.015118299,-91.0735
11,-75.91787,24.759775,-40.902565,-93.55329,150.0,-75.07263,33.644913,26.149397,-168.9336,150.0,601200,910.8775613307953,-0.012375073,-91.0735
12,-101.4622,25.944977,-65.23739,-124.62785,150.0,-75.82311,32.133053,18.209005,-186.70369,150.0,651300,987.0102183818817,-0.007884215,-91.0735
13,-45.82892,9.52059,-36.0119,-58.71753,150.0,-71.581245,33.351585,10.814362,-164.42184,150.0,701400,1063.144675731659,-0.02134565,-91.0735
14,-75.35577,28.436872,-35.48954,-99.87112,150.0,-69.137505,34.1833,22.86325,-207.08353,150.0,751500,1139.598895072937,-0.020638708,-91.0735
15,-57.741516,29.841652,-21.824493,-94.89018,150.0,-71.47164,34.731842,3.6141672,-184.07542,150.0,801600,1215.8606595993042,-0.010600956,-91.0735
16,-71.56156,14.476223,-51.566204,-85.36461,150.0,-68.33306,32.01784,7.3914075,-202.15585,150.0,851700,1277.787940979004,0.0014890473,-91.0735
17,-57.678463,13.973713,-39.60458,-73.636246,150.0,-63.893387,30.454636,22.792913,-181.15263,150.0,901800,1339.210339307785,-0.013014002,-91.0735
18,-53.000103,30.649784,-16.406155,-91.41612,150.0,-64.41646,30.801868,20.889614,-202.35603,150.0,951900,1400.4500880241394,-0.0062512816,-91.0735
19,-34.897785,11.242409,-25.869755,-50.745758,150.0,-58.434998,26.011734,18.994892,-138.37206,150.0,1002000,1461.8467264175415,-0.020535357,-91.0735
20,-33.858322,36.888535,14.424754,-75.10846,150.0,-57.173233,26.587929,9.524471,-172.29346,150.0,1052100,1523.2944164276123,-0.014539566,-91.0735
21,-43.423504,11.387521,-34.07634,-59.4543,150.0,-51.85734,27.566032,15.149944,-170.34586,150.0,1102200,1585.7022438049316,-0.017023753,-91.0735
22,-86.32844,46.24711,-53.42444,-151.73131,150.0,-45.254837,25.600779,19.95428,-193.06967,150.0,1152300,1647.1560623645782,-0.016559642,-91.0735
23,-36.70205,31.941973,0.7216835,-77.32356,150.0,-42.340847,26.621565,32.864464,-156.77232,150.0,1202400,1708.490502357483,-0.018910363,-91.0735
24,-32.516087,2.8802729,-29.394253,-36.342964,150.0,-35.87666,26.131273,41.859535,-181.92728,150.0,1252500,1770.0861883163452,-0.00015918237,-91.0735
25,-52.38902,10.709269,-39.288826,-65.52101,150.0,-37.428547,25.904327,25.770756,-117.65043,150.0,1302600,1832.5874755382538,-0.0013810651,-91.0735
26,-24.01531,10.554709,-10.0175,-35.50296,150.0,-37.74417,28.967989,33.385048,-182.11125,150.0,1352700,1894.0773527622223,-0.010574652,-91.0735
27,-61.770676,21.257122,-36.68872,-88.66329,150.0,-41.08665,26.196865,31.79615,-168.89253,150.0,1402800,1955.6033899784088,-0.0037284403,-91.0735
28,-30.917618,18.64998,-8.483515,-54.145744,150.0,-41.546066,24.105442,31.294373,-140.7204,150.0,1452900,2017.3862154483795,-0.01716748,-91.0735
29,-49.77121,5.2726235,-43.73768,-56.582474,150.0,-46.04909,24.293964,20.494034,-159.4014,150.0,1503000,2079.537917613983,0.0021384074,-91.0735
30,-63.871716,27.866945,-25.968695,-92.17045,150.0,-47.9357,22.94702,29.131353,-142.5047,150.0,1553100,2142.2475204467773,-0.019859938,-91.0735
31,-79.71471,31.559488,-41.33102,-118.63017,150.0,-51.904263,20.730818,12.48003,-118.36658,150.0,1603200,2204.064276456833,-0.019066479,-91.0735
32,-84.19466,12.231534,-72.75254,-101.150665,150.0,-60.055984,25.25513,26.719263,-175.15874,150.0,1653300,2265.7987225055695,-0.024692666,-91.0735
33,-51.98795,17.748236,-31.571957,-74.84071,150.0,-66.69823,26.503489,-6.272363,-182.30222,150.0,1703400,2327.6274552345276,-0.005655459,-91.0735
34,-79.76755,25.952204,-47.301567,-110.82435,150.0,-69.44787,25.36678,17.958769,-158.58092,150.0,1753500,2389.521202325821,-0.0045452067,-91.0735
35,-89.99767,23.091747,-67.86772,-121.8603,150.0,-72.60328,28.844376,-2.0599966,-159.59041,150.0,1803600,2451.3685569763184,-0.00892948,-91.0735
36,-87.98171,22.531845,-56.81095,-109.29542,150.0,-71.70621,32.117657,28.758575,-165.79427,150.0,1853700,2512.820452451706,-0.010263081,-91.0735
37,-74.272964,10.171072,-62.54757,-87.35109,150.0,-72.901436,33.835003,43.170475,-158.63394,150.0,1903800,2574.7220072746277,-0.022838015,-91.0735
38,-56.774292,21.61575,-26.234062,-73.19838,150.0,-70.30007,35.196354,24.638477,-171.52205,150.0,1953900,2636.138887643814,-0.015183075,-91.0735
39,-37.84779,34.8367,-9.797102,-86.948235,150.0,-61.862568,37.199608,51.04116,-146.20566,150.0,2004000,2698.145069360733,-0.0017383129,-91.0735
40,-40.309402,17.572285,-17.285336,-59.92063,150.0,-48.223816,36.25564,84.286606,-133.17914,150.0,2054100,2760.1408998966217,0.001756638,-91.0735
41,-43.043102,21.475304,-18.187622,-70.58497,150.0,-41.504356,35.666096,91.625885,-148.24706,150.0,2104200,2821.95139837265,-0.006581332,-91.0735
42,-36.967724,27.255325,0.08339214,-64.69601,150.0,-31.393797,37.094498,79.902054,-143.91776,150.0,2154300,2884.1309559345245,-0.0028573207,-91.0735
43,-89.88029,39.383522,-53.977737,-144.70769,150.0,-30.380274,39.197628,75.291275,-177.81573,150.0,2204400,2946.231202363968,-0.012820143,-91.0735
44,-44.923817,29.454811,-23.183151,-86.56567,150.0,-30.364065,39.545288,79.11781,-168.43353,150.0,2254500,3008.0692291259766,-0.012175097,-91.0735
45,-62.35431,25.322014,-32.982212,-94.78202,150.0,-28.974346,46.510525,92.23988,-197.2331,150.0,2304600,3070.369749546051,-0.0016938304,-91.0735
46,-18.464064,16.569187,-4.9740524,-41.80189,150.0,-22.963076,46.221184,84.398026,-213.51115,150.0,2354700,3132.1375119686127,-0.00080661126,-91.0735
47,-61.91041,27.838171,-22.783192,-85.247795,150.0,-24.215147,48.81765,79.42137,-184.08755,150.0,2404800,3194.171473264694,0.006654244,-91.0735
48,-42.688858,25.477085,-7.2318077,-65.960045,150.0,-29.982357,46.320065,149.92105,-173.91225,150.0,2454900,3255.52223777771,-0.0038496957,-91.0735
49,-48.64978,50.72515,6.2084904,-116.110016,150.0,-33.27115,41.424454,86.98233,-177.06155,150.0,2505000,3316.9010484218597,-0.007949865,-91.0735
50,-31.860346,21.390392,-1.9953032,-50.96212,150.0,-29.064749,37.575253,84.922874,-186.36618,150.0,2555100,3378.226392030716,-0.0041511077,-91.0735
51,-21.115604,15.460766,-0.24283123,-37.191006,150.0,-26.17401,26.39928,51.134407,-139.18735,150.0,2605200,3440.7283742427826,-0.0134017,-91.0735
