Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,baseline_loss,Initial_DataCollection_AverageReturn
0,-72.90876,34.34515,-32.27059,-116.266685,150.0,-91.0735,39.65594,18.06682,-236.1149,150.0,50100,58.54790186882019,-0.012626478,1.0218102,-91.0735
1,-122.46822,45.51488,-80.01257,-185.59526,150.0,-91.3795,37.03426,26.181719,-245.12706,150.0,100200,134.64600372314453,-0.021539489,1.2391522,-91.0735
2,-82.17093,9.206718,-69.181946,-89.446594,150.0,-92.5328,36.7066,-11.901251,-239.78009,150.0,150300,210.676744222641,0.003710602,1.0419827,-91.0735
3,-104.04706,42.87166,-51.17148,-156.17723,150.0,-94.563156,36.591602,-1.105679,-239.79482,150.0,200400,286.8724777698517,-0.009604319,1.0243067,-91.0735
4,-89.73984,2.3225954,-86.49086,-91.782394,150.0,-91.41656,32.034298,-12.100122,-195.0923,150.0,250500,363.3565135002136,-0.013299025,1.0158739,-91.0735
5,-65.50144,7.745429,-57.63234,-76.03489,150.0,-91.53387,34.371346,22.110405,-227.87607,150.0,300600,440.00492453575134,-0.013793241,1.0121439,-91.0735
6,-60.161938,28.14844,-20.468683,-82.623184,150.0,-83.33744,33.811047,36.302887,-183.94353,150.0,350700,516.6078536510468,-0.016669435,1.016066,-91.0735
7,-84.26291,30.69041,-60.12851,-127.571106,150.0,-81.847466,31.255379,0.34313965,-200.159,150.0,400800,592.769921541214,-0.023399383,1.0130054,-91.0735
8,-90.817535,30.073883,-51.061974,-123.782684,150.0,-78.4906,29.331257,6.6912384,-187.51767,150.0,450900,669.0108063220978,-0.02077759,1.0058639,-91.0735
9,-73.75131,0.8179553,-73.07052,-74.90163,150.0,-80.58313,28.112724,6.690504,-192.01868,150.0,501000,745.3115799427032,-0.012919698,1.0053078,-91.0735
10,-46.864014,15.512461,-26.834585,-64.62929,150.0,-74.610664,28.081877,14.768128,-163.77158,150.0,551100,821.771556854248,-0.012508711,1.0045198,-91.0735
