Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,Initial_DataCollection_AverageReturn
0,-101.09589,21.61965,-70.5287,-116.970375,150.0,-91.0735,39.65594,18.06682,-236.1149,150.0,50100,78.19185733795166,-0.058271095,-91.0735
1,-91.36438,32.06085,-65.93364,-136.58829,150.0,-75.49225,31.715239,29.532322,-171.24419,150.0,100200,155.42012763023376,-0.075776964,-91.0735
2,-66.32618,5.8178816,-59.67663,-73.84729,150.0,-75.148766,32.716297,12.337326,-191.12231,150.0,150300,232.6145040988922,-0.08180274,-91.0735
3,-81.85889,11.686673,-65.47827,-91.95291,150.0,-71.426,28.096558,-1.2298164,-204.6648,150.0,200400,309.8390283584595,-0.082428515,-91.0735
4,-47.775116,7.755608,-37.02044,-55.017086,150.0,-64.11635,27.956978,40.189507,-143.9507,150.0,250500,386.9820787906647,-0.06817937,-91.0735
5,-40.9111,33.342274,3.5982816,-76.647156,150.0,-56.395103,29.836613,38.51953,-168.91449,150.0,300600,464.7673225402832,-0.07969424,-91.0735
6,-80.43899,1.209356,-78.87784,-81.82448,150.0,-54.68239,29.760323,19.95536,-191.48499,150.0,350700,542.1937561035156,-0.087781325,-91.0735
7,-67.71271,25.005749,-40.680412,-100.974045,150.0,-52.107838,28.80715,16.832588,-152.88449,150.0,400800,618.8935949802399,-0.06542943,-91.0735
8,-61.52821,24.076748,-29.695864,-87.91152,150.0,-47.433926,26.209284,32.790195,-143.98961,150.0,450900,695.1120467185974,-0.08515338,-91.0735
9,-63.758804,27.43486,-26.635025,-92.08676,150.0,-47.44256,27.819622,33.50813,-165.59265,150.0,501000,771.3512680530548,-0.07756691,-91.0735
10,-50.544575,6.005047,-43.87002,-58.42923,150.0,-45.52537,24.330952,62.33017,-127.62753,150.0,551100,847.578884601593,-0.08070461,-91.0735
11,-10.692594,12.807047,4.69919,-26.655916,150.0,-42.9894,24.504961,26.907984,-141.00151,150.0,601200,923.803346157074,-0.071601465,-91.0735
