Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,baseline_loss,Initial_DataCollection_AverageReturn
0,-92.10439,17.77118,-67.325905,-108.13264,150.0,-91.0735,39.65594,18.06682,-236.1149,150.0,50100,77.68240785598755,-0.057698343,1.019439,-91.0735
1,-87.212585,17.14122,-64.382256,-105.68567,150.0,-75.16467,32.912872,0.073792696,-205.2557,150.0,100200,153.86473107337952,-0.07947024,1.1971716,-91.0735
2,-91.448975,31.83737,-57.2157,-133.89325,150.0,-72.21914,32.037746,55.70363,-187.99147,150.0,150300,230.67848348617554,-0.081723094,1.0222136,-91.0735
3,-86.19938,14.272897,-66.19573,-98.53871,150.0,-67.35113,32.012108,19.545874,-189.2429,150.0,200400,307.1520411968231,-0.07347686,1.0022141,-91.0735
4,-78.621376,20.389595,-53.012413,-102.903625,150.0,-66.37674,26.821447,0.16320801,-162.93053,150.0,250500,383.794504404068,-0.08524712,1.0009091,-91.0735
5,-67.11509,18.557798,-44.848774,-90.2793,150.0,-59.10417,28.613878,22.904184,-169.69547,150.0,300600,460.71399784088135,-0.08319322,0.98661816,-91.0735
6,-62.92332,16.099337,-44.390366,-83.64319,150.0,-54.109608,28.723326,20.117302,-169.08852,150.0,350700,537.3339474201202,-0.066446036,0.9730684,-91.0735
7,-64.990364,32.183075,-39.489555,-110.38901,150.0,-50.455254,28.166008,29.745335,-182.05289,150.0,400800,613.545823097229,-0.07728271,0.96014816,-91.0735
8,-30.365211,32.227306,-6.9547997,-75.93579,150.0,-44.859245,27.0143,27.646172,-143.41182,150.0,450900,689.9459865093231,-0.0713614,0.9493647,-91.0735
9,-49.312286,3.0691586,-45.873085,-53.325035,150.0,-47.222588,27.029026,25.14803,-133.80109,150.0,501000,766.2102830410004,-0.0808176,0.9346246,-91.0735
10,-31.647842,4.3842077,-25.539679,-35.623703,150.0,-42.21754,29.671293,66.89822,-146.88885,150.0,551100,842.4195833206177,-0.0648722,0.92497164,-91.0735
11,-26.037567,26.875385,2.0047438,-62.276985,150.0,-37.595966,26.234123,66.10397,-125.520325,150.0,601200,918.5855767726898,-0.07318725,0.8991258,-91.0735
12,-32.017414,8.518269,-25.724798,-44.05999,150.0,-34.306538,26.694649,63.187935,-106.29453,150.0,651300,995.0830609798431,-0.065180734,0.8772722,-91.0735
13,-62.839764,35.183773,-27.299286,-110.76796,150.0,-34.048786,27.941093,43.71711,-121.95579,150.0,701400,1071.5918273925781,-0.06702447,0.8330071,-91.0735
14,-43.349224,28.646605,-15.445864,-82.73698,150.0,-33.0558,27.741938,47.56738,-145.51105,150.0,751500,1138.0148606300354,-0.0721816,0.78606945,-91.0735
15,-14.501723,18.716326,11.756245,-30.518723,150.0,-31.578203,30.079569,85.87745,-139.24869,150.0,801600,1200.3396208286285,-0.058175065,0.81126386,-91.0735
16,-30.447481,30.357277,8.281988,-65.85489,150.0,-29.156855,28.854158,83.98296,-180.46655,150.0,851700,1262.6283309459686,-0.061824467,0.7733501,-91.0735
17,-1.2448374,23.908403,26.144737,-32.10867,150.0,-23.979853,26.502146,46.78429,-124.80051,150.0,901800,1324.9983475208282,-0.06057479,0.76365054,-91.0735
18,-18.142424,13.666164,0.69039154,-31.31913,150.0,-19.817047,23.752077,47.827206,-104.52727,150.0,951900,1387.7802538871765,-0.07494259,0.72157246,-91.0735
19,-18.090464,5.9836435,-9.739367,-23.449387,150.0,-19.349306,22.07157,51.768196,-106.77934,150.0,1002000,1450.5256485939026,-0.06803464,0.6999344,-91.0735
20,-25.428614,2.090352,-23.543903,-28.343344,150.0,-20.006786,18.707851,33.503433,-138.47237,150.0,1052100,1512.7792494297028,-0.058951247,0.6647483,-91.0735
21,-18.234108,11.334481,-8.789797,-34.172745,150.0,-18.287226,14.622906,30.418709,-58.042515,150.0,1102200,1574.5369234085083,-0.06974315,0.61304337,-91.0735
22,-16.600103,28.864151,24.21618,-37.489998,150.0,-18.704231,16.933994,53.24211,-69.16882,150.0,1152300,1636.2098355293274,-0.07884195,0.5626452,-91.0735
23,-7.08019,5.7752733,0.8684616,-12.680824,150.0,-15.755369,16.22923,29.74057,-69.333145,150.0,1202400,1697.9792637825012,-0.0687413,0.5504474,-91.0735
24,-7.8047504,14.319859,3.0026753,-28.040428,150.0,-8.752954,13.69607,38.41809,-50.59118,150.0,1252500,1759.9479792118073,-0.07890208,0.4952968,-91.0735
25,-12.440604,18.703272,12.414219,-32.703632,150.0,-5.628024,13.346025,30.988445,-49.014023,150.0,1302600,1821.9520359039307,-0.07914469,0.5443312,-91.0735
26,3.0908244,5.1132812,8.732527,-3.6475334,150.0,-5.927718,13.10016,32.927742,-46.779408,150.0,1352700,1883.9850466251373,-0.08618992,0.5521118,-91.0735
27,-9.69954,15.142659,5.335356,-30.42358,150.0,-4.3778505,12.833718,42.85362,-45.558655,150.0,1402800,1946.2231254577637,-0.081443705,0.52637756,-91.0735
28,-5.650804,14.173589,14.298984,-17.311052,150.0,-3.5213177,12.48003,32.792427,-42.261906,150.0,1452900,2008.61323428154,-0.07829827,0.48463398,-91.0735
29,-4.8792305,9.267958,4.679888,-17.424742,150.0,-3.4246187,11.412876,26.471972,-47.28723,150.0,1503000,2071.0762310028076,-0.08190071,0.45492172,-91.0735
30,2.7796297,7.2205367,9.53986,-7.2283573,150.0,-1.6074256,11.603706,35.502876,-50.080612,150.0,1553100,2133.418623447418,-0.07311176,0.46683642,-91.0735
31,4.7985997,8.364321,15.815518,-4.439932,150.0,1.8884134,12.801636,36.050373,-45.485497,150.0,1603200,2195.5911791324615,-0.07975806,0.45740145,-91.0735
32,-1.7417316,4.011272,3.8497782,-5.366172,150.0,5.4132123,13.002405,32.00021,-62.672527,150.0,1653300,2257.814733028412,-0.07778239,0.5065694,-91.0735
33,12.098704,3.9342449,16.544966,6.978939,150.0,12.073281,13.40937,49.04155,-45.946976,150.0,1703400,2319.8368752002716,-0.059380576,0.50911635,-91.0735
34,33.09283,15.099932,50.969128,14.038336,150.0,19.351599,14.021633,48.185123,-49.609818,150.0,1753500,2381.845890045166,-0.06563692,0.5525371,-91.0735
35,22.79506,22.43594,51.369606,-3.4370317,150.0,30.267166,16.801193,73.43306,-43.17448,150.0,1803600,2443.8096685409546,-0.06090114,0.72629946,-91.0735
36,43.26062,16.65976,63.522453,22.717453,150.0,39.242954,21.16908,80.52649,-40.624794,150.0,1853700,2505.7173907756805,-0.059879154,0.88676506,-91.0735
37,64.748055,7.17554,74.88428,59.261295,150.0,44.03956,22.403936,94.15378,-54.63794,150.0,1903800,2567.596362352371,-0.06632221,0.9121241,-91.0735
38,65.880714,14.402106,86.18065,54.29357,150.0,51.575165,21.279194,96.5778,-48.67195,150.0,1953900,2629.4510192871094,-0.05711755,0.88071847,-91.0735
39,71.22235,9.889779,84.84321,61.66133,150.0,56.329983,20.757622,98.14851,-58.35443,150.0,2004000,2691.3162059783936,-0.055556223,0.8888516,-91.0735
