Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,baseline_loss,Initial_DataCollection_AverageReturn
0,-71.69985,12.282901,-56.614758,-86.70125,150.0,-98.08293,39.806232,-1.8923426,-259.26862,150.0,50100,28.23386240005493,-0.07035325,1.03737,-98.08293
1,-115.806496,41.088966,-74.12169,-171.70938,150.0,-84.42727,36.52746,13.438292,-182.39075,150.0,100200,56.358336448669434,-0.0748143,1.0423762,-98.08293
2,-82.63644,39.315136,-45.240837,-136.96704,150.0,-78.403114,37.77103,53.515842,-201.63763,150.0,150300,84.47454476356506,-0.09789017,0.9937458,-98.08293
3,-25.686178,21.874897,-4.576887,-55.825638,150.0,-74.784096,33.280853,30.41227,-188.01389,150.0,200400,112.73546004295349,-0.0674612,0.9797784,-98.08293
4,-64.20287,22.370333,-47.972782,-95.83569,150.0,-73.877754,33.79911,39.581932,-246.22029,150.0,250500,141.63385605812073,-0.078587525,0.9783692,-98.08293
5,-48.282864,8.17405,-37.352486,-57.006546,150.0,-72.05504,31.910473,46.065384,-183.92139,150.0,300600,170.37930822372437,-0.06989248,0.96918786,-98.08293
6,-61.843628,17.9433,-46.77623,-87.05989,150.0,-72.79845,29.985638,27.823776,-201.27185,150.0,350700,199.1148796081543,-0.09441807,0.96008533,-98.08293
7,-26.761427,13.482237,-8.326528,-40.194557,150.0,-66.82718,31.524439,12.919908,-192.87518,150.0,400800,227.83000659942627,-0.080213286,0.953679,-98.08293
8,-111.82926,39.2269,-56.428974,-142.02539,150.0,-62.336235,30.025791,22.450943,-156.95793,150.0,450900,256.5217363834381,-0.06940963,0.9417234,-98.08293
9,-54.054474,12.76399,-36.42352,-66.22275,150.0,-60.696484,28.378456,21.459929,-150.83723,150.0,501000,285.2134282588959,-0.0814535,0.9368934,-98.08293
10,-67.88082,13.153501,-53.449474,-85.26134,150.0,-57.81542,27.535048,16.208536,-148.27141,150.0,551100,313.95408296585083,-0.07925598,0.92457473,-98.08293
11,-60.827183,25.108452,-31.86034,-93.09664,150.0,-56.07878,27.91371,21.185253,-151.65887,150.0,601200,342.7671980857849,-0.07862615,0.9197242,-98.08293
12,-66.97694,66.27763,-13.912018,-160.42108,150.0,-53.842224,27.762634,20.830626,-163.32304,150.0,651300,371.48542499542236,-0.06899587,0.9083162,-98.08293
13,-31.398767,13.546566,-16.787302,-49.43497,150.0,-49.764668,28.21874,26.885185,-147.79239,150.0,701400,400.2095272541046,-0.07512771,0.8980054,-98.08293
14,-50.853153,18.570158,-28.809967,-74.23798,150.0,-50.077732,27.67197,30.737171,-129.99812,150.0,751500,428.96888971328735,-0.06944148,0.88162714,-98.08293
15,-52.65874,25.09237,-17.797958,-75.83238,150.0,-47.935944,27.914236,29.146082,-160.5993,150.0,801600,457.73098397254944,-0.08905635,0.87391406,-98.08293
16,-52.604855,26.638323,-21.516315,-86.57539,150.0,-48.043243,25.865152,18.728287,-168.29861,150.0,851700,486.9222037792206,-0.07841859,0.8623279,-98.08293
17,-26.788534,5.978498,-19.23729,-33.85774,150.0,-47.025333,28.51304,70.40026,-189.27075,150.0,901800,515.759771823883,-0.08916254,0.8446516,-98.08293
18,-50.265793,12.559387,-36.696392,-66.97575,150.0,-41.498737,26.209124,24.41582,-121.0324,150.0,951900,544.6497256755829,-0.095039144,0.84249955,-98.08293
19,-33.585056,16.259174,-10.982822,-48.546143,150.0,-40.962605,25.611654,24.751987,-142.57292,150.0,1002000,573.5031373500824,-0.07840779,0.8213859,-98.08293
20,-48.736347,29.687582,-8.645689,-79.57903,150.0,-40.17433,24.939945,16.924166,-141.85695,150.0,1052100,602.3641152381897,-0.07168575,0.8214187,-98.08293
