Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,baseline_loss,Initial_DataCollection_AverageReturn
0,10.103417,6.6527267,40.881573,4.3877187,14.206896551724139,9.932523,5.6289635,53.87124,3.4876068,13.903448275862068,2016,5.337564706802368,0.021228278,1.1486962,9.932523
1,9.747753,4.4735284,25.556292,3.6176631,13.433333333333334,11.450917,8.1257715,65.37435,3.233206,15.280303030303031,4033,9.42751693725586,-0.018451488,1.1196085,9.932523
2,13.431123,10.477224,42.231815,4.6227536,16.4,11.328368,7.328813,69.23884,4.581556,15.204545454545455,6040,13.504250049591064,-0.0064938734,1.0927936,9.932523
3,11.400397,6.003635,32.813007,4.397568,15.25925925925926,12.077306,6.826438,40.413948,4.9165573,15.438461538461539,8047,17.58747363090515,-0.0044535785,1.059201,9.932523
4,19.528612,33.225677,169.44955,4.248226,18.227272727272727,11.8867445,8.269851,60.287857,3.7931082,15.112781954887218,10057,21.658919095993042,0.018112972,1.0423257,9.932523
5,13.339808,12.575671,68.99903,3.5471323,16.64,13.542104,10.037295,66.59898,4.119045,17.008474576271187,12064,25.749050617218018,0.026547074,1.0398787,9.932523
6,14.294587,10.565864,54.47917,5.251607,17.391304347826086,15.144945,12.495657,93.53922,4.9013944,19.028301886792452,14081,29.831367015838623,0.07039441,1.024894,9.932523
7,12.901456,7.3801,39.564335,5.6795673,17.82608695652174,15.272941,11.487932,88.3108,4.9759603,17.31896551724138,16090,33.95663118362427,-0.028016686,0.996665,9.932523
8,19.554132,17.308334,80.86841,7.163634,20.5,16.025417,16.658812,145.06346,4.408828,18.144144144144143,18104,38.02644419670105,0.019556085,0.99616677,9.932523
9,19.525084,22.686693,107.20988,6.6009154,20.238095238095237,18.831627,23.935955,226.61986,5.7063866,20.79381443298969,20121,42.14383935928345,-0.010157027,0.9939978,9.932523
10,30.393826,43.51764,151.21347,5.909215,26.833333333333332,23.683744,28.379528,154.9204,5.672489,23.04597701149425,22126,46.35189199447632,0.043070566,0.97952175,9.932523
11,25.083214,22.546532,80.19273,7.8062167,26.125,18.638063,20.651098,128.84494,3.6624858,20.489795918367346,24134,50.45893168449402,-0.013307017,0.9758413,9.932523
12,20.163023,11.539564,52.31976,8.202096,24.235294117647058,30.132473,35.853416,226.58015,4.521298,27.283783783783782,26153,54.57369303703308,0.006790554,0.95052284,9.932523
13,31.410925,34.47459,142.83722,6.77869,28.714285714285715,28.498665,37.97962,241.7138,5.7656918,27.791666666666668,28154,58.637041091918945,-0.020557554,0.95912355,9.932523
